glue_weight,item_id,x1_dist,x2_dist,y1_dist,y2_dist,station_id,time
7.5664773,7179,1.9855683,2.0705907,2.0468237,1.9122618,2,3594
8.1376915,7182,2.0602531,1.9787297,1.9485315,1.9629192,1,3594
7.9801984,7183,2.0686748,1.9992622,2.0366499,1.9754741,0,3594
8.048893,14375,2.00211,2.0218298,1.9186704,2.0876234,-1,3594
8.1740646,14378,1.9050024,1.9372103,1.9766734,2.0547421,-1,3595
8.1376915,7182,2.0602531,1.9787297,1.9485315,1.9629192,2,3595
7.9801984,7183,2.0686748,1.9992622,2.0366499,1.9754741,1,3595
8.1622887,7186,1.9924818,1.9488392,2.0096097,2.0255768,0,3595
7.6391854,14379,2.0159996,1.9174737,1.9313942,2.0349765,-1,3595
7.9905148,14382,1.9008253,1.9107975,2.0256956,1.9440554,-1,3596
7.9801984,7183,2.0686748,1.9992622,2.0366499,1.9754741,2,3596
8.1622887,7186,1.9924818,1.9488392,2.0096097,2.0255768,1,3596
8.2312088,7187,1.9117231,1.9865531,2.0302827,2.0812256,0,3596
8.0928307,14383,2.0280004,1.9087336,2.0027928,2.0088255,-1,3596
8.1274462,14386,1.9420891,1.9949393,2.0861759,2.0533755,-1,3597
8.1622887,7186,1.9924818,1.9488392,2.0096097,2.0255768,2,3597
8.2312088,7187,1.9117231,1.9865531,2.0302827,2.0812256,1,3597
7.8463664,7190,2.0568006,1.9262656,2.0252059,1.9628317,0,3597
7.9271755,14387,2.0693576,1.9233186,1.9910498,2.0040693,-1,3597
8.2133484,14390,1.9867138,2.0920942,1.9469492,2.0047321,-1,3598
8.2312088,7187,1.9117231,1.9865531,2.0302827,2.0812256,2,3598
7.8463664,7190,2.0568006,1.9262656,2.0252059,1.9628317,1,3598
8.0636921,7191,1.9401188,1.9913006,1.9200165,1.9675298,0,3598
8.1919107,14391,1.9003487,1.9271445,1.9397497,2.0954535,-1,3598
7.9303951,14394,2.0154908,1.9176155,2.0630879,1.9926637,-1,3599
7.8463664,7190,2.0568006,1.9262656,2.0252059,1.9628317,2,3599
8.0636921,7191,1.9401188,1.9913006,1.9200165,1.9675298,1,3599
